,time,z_stage_setpoint,z_stage_readback,MyGaussMeter_Bx,MyGaussMeter_By,MyGaussMeter_Bz,MyGaussMeter_Btot
0,1723722800.1330645,0.0,0.0,43.0919597,-124.27485,-3.0225214,130.679049
1,1723722810.159852,-278.94736842105266,-278.94736842105266,40.6065338,-124.4941,4.15040349,130.679049
2,1723722820.204724,-557.8947368421053,-557.8947368421053,40.2350366,-126.32127,4.15040349,132.577724
3,1723722830.2419553,-836.8421052631579,-836.8421052631579,40.5446479,-128.25188,0.79987401,132.577724
4,1723722840.2708914,-1115.7894736842106,-1115.7894736842106,41.7079398,-128.9388,1.65229007,135.533431
5,1723722850.309833,-1394.7368421052633,-1394.7368421052633,43.1085069,-129.44839,4.00295007,135.533431
6,1723722860.3428388,-1673.6842105263158,-1673.6842105263158,41.3489094,-131.81428,-0.9558308,135.533431
7,1723722870.38147,-1952.6315789473686,-1952.6315789473686,43.1338695,-132.56414,0.71839231,135.533431
8,1723722880.6443455,-2231.5789473684213,-2231.5789473684213,46.9506618,-132.88141,5.11420777,135.533431
9,1723722890.8831599,-2510.5263157894738,-2510.5263157894738,42.1305191,-134.67815,-2.052639,135.533431
10,1723722900.9125223,-2789.4736842105267,-2789.4736842105267,46.1563719,-136.90791,0.36712132,144.474585
11,1723722910.9470966,-3068.421052631579,-3068.421052631579,45.8498549,-137.28939,0.36712132,144.754504
12,1723722921.185206,-3347.3684210526317,-3347.3684210526317,43.5076671,-137.01122,-2.2894362,144.754504
13,1723722931.2246234,-3626.3157894736846,-3626.3157894736846,43.2846381,-140.25322,-4.9374199,146.859233
14,1723722941.4665294,-3905.263157894737,-3905.263157894737,46.0825123,-138.50436,-0.7509485,146.859233
15,1723722951.9090033,-4184.21052631579,-4184.21052631579,44.4955975,-139.36327,-3.2447478,146.327646
16,1723722962.145045,-4463.1578947368425,-4463.1578947368425,44.4825002,-141.04732,-3.2447478,147.957814
17,1723722972.5934784,-4742.105263157895,-4742.105263157895,46.3268538,-141.48203,-4.135455,148.90789
18,1723722983.0335686,-5021.0526315789475,-5021.0526315789475,46.3196685,-141.26214,-3.3041825,148.613976
19,1723722993.4746134,-5300.0,-5300.0,46.3768684,-143.45804,-3.3041825,150.827583
